,PRICE , TIME 
0,2535.6,09:19:31
1,2535.6,09:19:36
2,2535.6,09:19:41
3,2535.6,09:19:47
4,2535.6,09:19:52
5,2535.6,09:19:57
6,2535.6,09:20:02
7,2535.6,09:20:07
8,2535.6,09:20:12
9,2535.6,09:20:18
10,2535.6,09:20:23
11,2532.7,09:20:28
12,2532.7,09:20:33
13,2532.7,09:20:38
14,2532.7,09:20:43
15,2532.7,09:20:48
16,2532.7,09:20:54
17,2532.7,09:20:59
18,2532.7,09:21:04
19,2532.7,09:21:09
20,2532.7,09:21:14
21,2532.7,09:21:19
22,2532.7,09:21:25
23,2532.7,09:21:30
24,2532.7,09:21:35
25,2532.7,09:21:40
26,2532.7,09:21:45
27,2532.7,09:21:50
28,2532.7,09:21:56
29,2531.3,09:22:01
30,2531.3,09:22:06
31,2531.3,09:22:11
32,2532.7,09:22:16
33,2532.7,09:22:22
34,2533.85,09:22:27
35,2533.85,09:22:32
36,2533.85,09:22:37
37,2533.85,09:22:43
38,2533.85,09:22:48
39,2533.85,09:22:53
40,2533.85,09:22:58
41,2533.85,09:23:03
42,2533.85,09:23:09
43,2533.85,09:23:14
44,2533.85,09:23:19
45,2533.85,09:23:24
46,2533.85,09:23:29
47,2533.85,09:23:35
48,2533.85,09:23:40
49,2533.85,09:23:45
50,2533.85,09:23:50
51,2533.85,09:23:56
52,2533.85,09:24:01
53,2533.85,09:24:06
54,2532.45,09:24:11
55,2532.45,09:24:16
56,2532.45,09:24:22
57,2532.45,09:24:27
58,2529.45,09:24:32
59,2529.45,09:24:37
60,2529.45,09:24:42
61,2529.45,09:24:48
62,2529.45,09:24:53
63,2529.45,09:24:58
64,2529.45,09:25:03
65,2529.45,09:25:08
66,2529.45,09:25:14
67,2529.45,09:25:19
68,2529.45,09:25:24
69,2529.45,09:25:29
70,2529.45,09:25:34
71,2529.45,09:25:39
72,2529.45,09:25:45
73,2529.45,09:25:50
74,2529.8,09:25:55
75,2529.45,09:26:00
76,2529.3,09:26:05
77,2529.3,09:26:11
78,2529.8,09:26:16
79,2527.9,09:26:21
80,2529.3,09:26:27
81,2529.3,09:26:32
82,2529.3,09:26:37
83,2529.3,09:26:42
84,2529.3,09:26:47
85,2529.3,09:26:53
86,2529.3,09:26:58
87,2529.3,09:27:03
88,2529.3,09:27:08
89,2529.3,09:27:13
90,2529.3,09:27:19
91,2529.3,09:27:24
92,2529.3,09:27:29
93,2529.3,09:27:34
94,2529.3,09:27:39
95,2529.3,09:27:45
96,2527.9,09:27:50
97,2527.9,09:27:55
98,2527.9,09:28:00
99,2527.9,09:28:05
